ID,measurement_time,target,source_1_temperature,source_2_temperature,source_3_temperature,source_4_temperature,mean_room_temperature,sun_radiation_east,sun_radiation_west,sun_radiation_south,sun_radiation_north,sun_radiation_perpendicular,outside_temperature,wind_speed,wind_direction,clouds
0,2023-11-01 00:00:00,3.399999976158142,27.600000381469727,18.799999237060547,19.75,21.100000381469727,20.129892414872366,0.0,0.0,0.0,0.0,0.0,8.97,2.06,140.0,20.0
1,2023-11-01 01:00:00,2.9333333174387612,28.400000254313152,18.933333079020183,19.833332697550457,21.03333346048991,20.052919396397034,0.0,0.0,0.0,0.0,0.0,9.19,2.06,110.0,100.0
2,2023-11-01 02:00:00,7.166666666666667,29.400000254313152,19.0,19.799999237060547,21.0,19.99237467003552,0.0,0.0,0.0,0.0,0.0,9.42,2.57,140.0,20.0
3,2023-11-01 03:00:00,10.49999988079071,30.09999990463257,19.03333346048991,19.933333079020183,24.600000381469727,19.941565496912993,0.0,0.0,0.0,0.0,0.0,9.19,2.57,150.0,100.0
4,2023-11-01 04:00:00,8.733333587646484,31.866666158040363,19.100000381469727,20.0,24.700000286102295,19.924501888589617,0.0,0.0,0.0,0.0,0.0,9.99,2.57,160.0,100.0
5,2023-11-01 05:00:00,10.999999841054281,32.800000508626304,19.100000381469727,19.933333079020183,24.566666920979817,19.938279681462113,0.0,0.0,0.0,0.0,0.0,10.82,4.12,180.0,100.0
6,2023-11-01 06:00:00,16.12500023841858,28.500000476837158,18.550000190734863,18.633333206176758,24.933333079020183,19.941490144097248,0.0,0.0,0.0,0.0,0.0,11.04,3.09,170.0,100.0
7,2023-11-01 07:00:00,24.96666641285022,33.36666679382324,19.333332697550457,20.03333282470703,24.46666653951009,20.294135157865433,0.0,0.0,0.0,0.0,0.0,11.04,3.09,160.0,100.0
8,2023-11-01 08:00:00,29.599999864896137,35.46666717529297,19.75,19.766667048136394,23.03333346048991,20.70224727102505,118.7741935483871,9.935483870967742,51.483870967741936,9.935483870967742,102.51612903225806,11.28,4.12,160.0,100.0
9,2023-11-01 09:00:00,28.025000274181366,36.34999942779541,19.833332697550457,19.799999237060547,21.93333371480306,20.97406546963586,354.80645161290323,32.645161290322584,259.80645161290323,32.645161290322584,361.7096774193548,11.28,3.6,160.0,100.0
10,2023-11-01 10:00:00,23.766666730244957,34.699999491373696,20.0,19.66666603088379,21.53333346048991,21.137308122675904,450.48387096774195,54.29032258064516,514.258064516129,53.29032258064516,578.4193548387096,12.09,4.63,190.0,75.0
11,2023-11-01 11:00:00,24.766666730244957,33.40000025431315,20.266666412353516,19.67500066757202,21.875,21.26786033266334,376.258064516129,68.83870967741936,696.0967741935484,67.29032258064517,684.4193548387096,13.71,5.66,190.0,100.0
12,2023-11-01 12:00:00,21.27500033378601,33.02500057220459,20.34999942779541,19.53333346048991,22.0,21.27400373583626,215.48387096774192,79.74193548387096,795.2258064516129,74.29032258064517,730.0322580645161,13.94,6.17,190.0,100.0
13,2023-11-01 13:00:00,30.833333333333332,35.266666412353516,20.5,19.666666666666668,22.0,21.5031585020831,83.74193548387096,152.61290322580646,809.4193548387096,76.29032258064517,736.2258064516129,14.18,6.17,180.0,40.0
14,2023-11-01 14:00:00,24.666666507720947,35.79999923706055,20.600000381469727,19.366666793823242,22.100000381469727,21.600531389841468,72.29032258064517,329.48387096774195,737.8387096774194,70.74193548387096,704.9032258064516,14.99,6.17,180.0,100.0
15,2023-11-01 15:00:00,20.725000262260437,34.20000076293945,18.166666666666668,19.900000254313152,21.866666158040363,21.529903223642737,59.29032258064516,439.93548387096774,584.0322580645161,58.74193548387097,623.2258064516129,14.18,4.63,170.0,100.0
16,2023-11-01 16:00:00,15.666666477918625,34.33333396911621,18.550000190734863,19.566666920979817,21.900000254313152,21.31789791625033,40.74193548387097,412.9677419354839,351.8709677419355,41.193548387096776,449.93548387096774,13.37,5.14,170.0,100.0
17,2023-11-01 17:00:00,8.733333587646484,36.09999974568685,17.96666717529297,19.633333841959637,21.566666920979817,21.135876160180697,14.0,174.3225806451613,88.96774193548387,14.451612903225804,159.4193548387097,13.71,5.66,170.0,100.0
18,2023-11-01 18:00:00,8.050000071525574,33.70000076293945,18.799999237060547,19.97499990463257,21.52500009536743,21.014993732663882,0.0,0.0,0.0,0.0,0.0,13.13,5.14,180.0,75.0
